OG0007634	GO:0005634,GO:0035335,GO:0005737,GO:0004726,GO:0019901,GO:0046426,GO:0070373
OG0000991	GO:0035434,GO:0005375,GO:0016020
OG0010091	GO:0043186,GO:0030719,GO:0007283,GO:0034587
OG0009053	GO:0002028,GO:0017080,GO:0005886
OG0003756	GO:0045211,GO:0016020,GO:0071805,GO:0060072,GO:0005267
OG0008825	GO:0005615,GO:0004222,GO:0030198,GO:0030574
OG0009274	GO:0005643,GO:0006913
OG0001986	GO:0005615,GO:0004252,GO:0006508
OG0006903	GO:0005246,GO:0005886,GO:0005525
OG0006536	GO:0000036,GO:0000035,GO:0005739,GO:0006633,GO:0005747
OG0009587	GO:1990071,GO:1990070,GO:0048193,GO:0006888,GO:1990072,GO:0030008
OG0000751	GO:0048495,GO:0008201,GO:0007411
OG0004939	GO:0072545,GO:0032438,GO:0072544,GO:0035240,GO:0033162,GO:0004930,GO:0005886,GO:0016020,GO:0007186,GO:0050848,GO:0035643
OG0006825	GO:0051377,GO:0005789,GO:0006506,GO:0016772
OG0006164	GO:0005267,GO:0015271,GO:0022841,GO:0030322,GO:0005886,GO:0016020,GO:0071805
OG0004074	GO:0030154,GO:0005737,GO:0035335,GO:0004726,GO:0035556,GO:0001784,GO:0000278
OG0010483	GO:0010468,GO:0005634
OG0009672	GO:0005739,GO:0071949,GO:0016491
OG0003137	GO:0043001,GO:0005802,GO:0000139,GO:0006895,GO:0034067
OG0000370	GO:0030335,GO:0045499,GO:0030215,GO:0001755,GO:0005886,GO:0071526,GO:0007411,GO:0050919
OG0003713	GO:0005736,GO:0001054,GO:0006351,GO:0006363,GO:0003899
OG0007275	GO:0003743,GO:0006413,GO:0005085,GO:0005851
OG0005299	GO:0016020,GO:0005743
OG0006940	GO:0000139,GO:0016758,GO:0016020,GO:0006493,GO:0009101,GO:0016757
OG0006232	GO:0042645,GO:0030337,GO:0006392,GO:0006390
OG0005765	GO:0043025,GO:0030424,GO:0050808,GO:0005886,GO:0007156,GO:0008046
OG0001062	GO:0006357,GO:0000978,GO:0000981
OG0006319	GO:0045944,GO:0003713,GO:0016592,GO:0008134
